,title,details
19, Petrol ofisi money kart akaryakıt kampanyası 150’ye 15 TL hediye 7-20 Kasım 2019, Petrol Ofisi akaryakıt istasyonlarında başlayan yeni kampanya kapsamında money kartınızla yapacağınız 150 TL ve üzeri alışverişlerde 15 TL değerinde puan hediye edilecek. Kampanya bu ay 7-20 Kasım 2019 tarihleri arasında geçerli olacaktır.  Kazandığınız puanlar 27 Kasım 2019 tarihinde yüklenecek ve 1...
20, Aytemiz otogaz kampanyası 60×3’e 15 TL hediye, Akaryakıt kampanyalarında otogazlı araç sahipleri çoğu zaman 100 ve 125 TL'lik harcama koşullarını sağlayamıyor. Aytemiz yeni otogaz kampanyası kapsamında farklı günlerde yapılacak 60 TL ve üzeri 3 adet harcamada 15 TL değerinde hediye puan fırsatı sunuyor. Aytemiz lpg kampanyası 6...
21, Hepsiburada akaryakıt kampanyası 25 TL hediye 19-31 Ekim 2019, Hepsiburada ve Petrol ofisi akaryakıt işbirliği ile düzenlenen kampanya kapsamında yapacağınız 250 TL ve üzeri alışverişlerinizde 25 TL değerinde hediye yakıt kazanacaksınız. Kampanya 19-31 Ekim 2019 tarihleri arasında geçerli olacaktır.  Kampanya sadece Hepsiburada mobil uygulama üzerinden yapılacak alışverişlerde geçerlidir.  Hediye akaryakıt kartları...
22, Opet akaryakıt axess kart kampanyası 16 Ekim – 30 Kasım 2019, Türkiye'nin en iyi istasyonlarına sahip akaryakıt şirketi hiç şüphesiz Opet. Ülke çapında istasyon kalitesi en yüksek Opetlerde tuvaletler birçok kişi için ilk tercih nedeni. Temizlik ve çay gibi imkanları ile ben dahil birçok kişi Opeti tercih ediyor. Opet ve Sunpet...
23, Carrefour 150 TL alışverişe 15 TL Aytemiz akaryakıt hediye kampanyası 1-15 Ekim 2019," Carrefour marketlerden yapacağınız 150 TL ve üzeri alışverişlerde Aytemiz akaryakıt istasyonlarında geçerli 15 TL değerinde yakıt kazanacaksınız. Kampanya bu ay 1-31 Ekim 2019 tarihleri arasında geçerli olacaktır. Kazanılan puanlar 15 Kasım tarihine kadar geçerli olacaktır.  Kampanya Ayrıntıları
Kampanya 01 Ekim – 31..."
24, Total akaryakıt world karta özel kampanya 1- 31 Ekim 2019," Total akaryakıt istasyonlarında world kredi kartınızla farklı günlerde yapacağınız 4 adet 125 TL ve üzeri alışverişte 30 TL değerinde total puan kazanacaksınız. Kampanyaya world mobil uygulaması üzerinden 1- 31 Ekim 2019 tarihleri arasında katılabilirsiniz.  Kampanya Ayrıntıları
16 Eylül 2019 - 31 Ekim..."
25, BP bonus kart kampanyası 1 Ekim – 15 Kasım 2019, Bp akaryakıt ve bonus kredi kartı işbirliği ile düzenlenen kampanya kapsamında farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamanızda 30 TL bonus kazanacaksınız. Kampanyaya bonus flaş uygulaması üzerinden 1 Ekim - 15 Kasım 2019 tarihleri arasında katılabilirsiniz.  Bonus üyesi...
26, Shell iş bankası bankamatik kart kampanyası 1 Ekim – 15 Kasım 2019, İş bankası bankamatik kart sahiplerine özel Shell akaryakıt kampanyası kapsamında bu ay 1 Ekim – 15 Kasım 2019 tarihleri arasında farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamanızda 40 TL maxi puan kazanacaksınız. Kampanyadan kazanılan puan Shell istasyonlarında...
27, Paraf petrol ofisi paraf kart kampanyası 16 Eylül-31 Ekim 2019, Paraf kredi kartı sahipleri Petrol ofisi istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 40 TL değerinde paraf para kazanacak. Kampanya 16 Eylül-31 Ekim 2019 tarihleri arasında paraf mobilden yapılacak katılımlarda geçerlidir. Ödemelerinizi paraf poslarından yapmalısınız.  Kampanya Ayrıntıları  ...
28, Hepsiburada 250 TL alışverişe 25 TL Total yakıt hediye kampanyası," Online alışveriş sitesi Hepsiburada üzerinden yapacağınız 250 TL ve üzeri alışverişlerde Total istasyonlarında geçerli 25 TL değerinde yakıt hediye fırsatı sizleri bekliyor. Kampanya 3 - 17 Eylül 2019 tarihleri arasında geçerli olacaktır.  Kampanya Detayları:  Chipgold, ziynet altın ile diğer altın ürünleri hariçtir.  İndirim..."
29, İstegelsin BP akaryakıt kampanyası 150 TL alışverişe 25 TL hediye," Marketi ayağınıza getiren istegelsin uygulaması BP akaryakıt kampanyası kapsamında 150 TL ve üzeri alışverişlerinizde 25 TL değerinde akaryakıt hediye ediyor. Kampanya 29 Eylül 2019 tarihine kadar geçerli olacaktır.  Kampanya Ayrıntıları
Kampanyadan faydalanabilmek için 29 Ağustos - 29 Eylül 2019 tarihleri arasında istegelsin..."
30, Opet maximum kart kampanyası 16 Ağustos – 30 Eylül 2019, Maximum kredi kartı sahipleri üye Opet akaryakıt istasyonlarından yapacakları 125 TL ve 4. harcamada 30 TL değerinde maxi puan kazanacak. Kampanya 16 Ağustos - 30 Eylül 2019 tarihleri arasında geçerli olacaktır. Kazanılan puanlar yine  opet istasyonlarında geçerli olacaktır.  Kampanyaya maximum mobil...
31, Opet boş yok hediye kampanyası 8 Ağustos – 15 Eylül 2019, Opet akaryakıt istasyonlarında boş yok kampanyası kapsamında tek seferde 200 TL ve üzeri harcama yapan herkese opet yakıt puanlar hediye ediliyor. Kampanyaya 8 Ağustos - 15 Eylül 2019 tarihleri arasında KAZAN yazıp boşluk bırakarak aktivasyonlu cep telefonu numaralarını ya da...
32, Miles & Smiles kredi kartı petrol ofisi akaryakıt kampanyası," Miles & Smiles kredi kartınıza özel Petrol Ofisi akaryakıt kampanyası kapsamında positive card ile üyeliğini eşleştiren ilk 15.000 kişiye 30 TL değerinde hediye yakıt fırsatı sunuluyor. Kampanyayı kaçırmayın!  Kampanya Ayrıntıları
Kampanya kapsamında www.petrolofisi.com.tr web sitesi üzerinden veya 7627’ye (örnek metin: THY TK12345678..."
33, Shell akaryakıt bonus karta özel 40 TL hediye kampanyası 1 Ağustos – 15 Eylül 2019, Bonus kredi kartı sahipleri Shell akaryakıt istasyonlarından farklı günlerde yapacakları 150 TL ve üzeri 4 adet alışverişte 50 TL değerinde bonus kazanacak. Kampanyaya bonus flaş uygulaması üzerinden 1 Ağustos - 15 Eylül 2019 tarihleri arasında katılmalısınız.  Kampanya Ayrıntıları  Kampanya 1 Ağustos -...
34, Bp world kart kampanyası  25 TL hediye 1 Ağustos – 15 Eylül 2019," World kredi kartı sahipleri BP akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 30 TL değerinde bp puan kazanacak. Kampanya 1 Ağustos - 15 Eylül 2019 tarihleri arasında world mobil üzerinden yapılacak katılımlarda geçerli olacaktır.   
Kampanya Ayrıntıları  ..."
35, Paraf kart Aytemiz akaryakıt kampanyası 1 Ağustos-15 Eylül 2019, Paraf kredi kartı sahipleri üye Aytemiz akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 40 TL kazanacak. Kampanyaya 1 Ağustos-15 Eylül 2019 tarihleri arasında paraf mobil uygulaması üzerinden katılabilirsiniz.  Kampanya paraf poslarından yapılacak çekimlerde geçerlidir.  Kampanya Ayrıntıları  Kampanyaya...
36, Petrol ofisi axess kredi kartına özel akaryakıt kampanyası 16 Temmuz – 31 Ağustos 2019, Axess kredi kartı sahipleri üye Petrol ofisi akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet alışverişlerde 40 TL chip para kazanacak. Kampanyaya 16 Temmuz - 31 Ağustos 2019 tarihleri arasında sadece axess mobil üzerinden katılabilirsiniz. Sms ile...
37, Aytemiz akaryakıt world kart kampanyası 16 Haziran – 31 Temmuz 2019," Aytemiz akaryakıt istasyonlarından world kredi kartınızla yapacağınız 125 TL ve üzeri 4 adet harcamada 30 TL kazanabilirsiniz. Kampanyaya world mobilden katılım zorunludur, diğer başvurularda 25 TL verilecektir. Kampanya 16 Haziran - 31 Temmuz 2019 tarihleri arasında katılabilirsiniz.  World kart akaryakıt kampanyası..."
38, Lukoil 2019 akaryakıt çekiliş kampanyası," Lukoil akaryakıt istasyonlarında başlatılan 2019 çekiliş kampanyası kapsamında taraftar kartınızla yapacağınız her 100 TL harcamada 1 çekiliş hakkı kazanacaksınız. Yapılacak çekiliş sonucunda 30 kişi 1 yıllık akaryakıt kazanacak. Kampanya 14 Haziran - 14 Temmuz tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları
Bu kampanya..."
39, Aytemiz akaryakıt world kart kampanyası 16 Haziran – 31 Temmuz 2019, World kredi kartı sahipleri Aytemiz akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 30 TL değerinde Aytemiz puan kazanacak. Kampanyaya 16 Haziran - 31 Temmuz 2019 tarihleri arasında world mobil uygulaması üzerinden katılabilirsiniz.  Kazanılan puanlar 6-17 Ağustos...
40, Opet akaryakıt bonus kart kampanyası 16 Haziran – 31 Temmuz 2019," Bonus kredi kartı sahipleri üye Opet akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamalarında 25 TL değerinde bonus kazanacak. Kampanyaya bonus flaş uygulaması üzerinden 16 Haziran - 31 Temmuz 2019 tarihleri arasında katılabilirsiniz.  Kampanya Ayrıntıları
Kampanya 16 Haziran..."
41, Paraf kart Türkiye Petrolleri kampanyası 50 TL hediye 15 Haziran-31 Temmuz 2019, Paraf kredi kartı sahiplerine Türkiye Petrolleri akaryakıt kampanyası kapsamında TP istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamalarında 50 TL değerinde paraf para kazanacak. Kampanyaya paraf mobil uygulaması üzerinden katılmalısınız. Sms başvurularında 40 TL verilecektir.  Kampanya 15 Haziran-31...
42, Pegasus opet akaryakıt kampanyası 1-30 Haziran 2019," Opet ve Pegasus işbirliği ile düzenlenen kampanya kapsamında 500 TL'ye kadar yapacağınız akaryakıt harcamalarında %3 yakıt puan hediye fırsatı sizleri bekliyor. Kampanya 1-30 Haziran 2019 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları
Kampanya, 1- 30 Haziran 2019 tarihleri arasında kampanyaya dahil Opet ve..."
43, Axess Shell akaryakıt kampanyası 1 Haziran – 15 Temmuz 2019, Axess kredi kartı sahipleri üye Shell akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4.  alışverişlerinde 40 TL değerinde chip para kazanacak. Kazanılan chip paralar yine Shell istasyonlarında kullanılabilecek. Kampanyaya 1 Haziran - 15 Temmuz 2019 tarihleri arasında axess...
44, Opet bayram akaryakıt kampanyası 24 Mayıs – 12 Haziran 2019," Opet akaryakıt istasyonlarında bayrama özel kampanya kapsamında instagram çekilişi sonucunda 500 kişiye 50 TL akaryakıt puanı hediye edecek. Kampanya 24 Mayıs - 12 Haziran 2019 tarihleri arasında gerçekleşecek yarışma kapsamında, instagram.com/opettr ücretsiz internet sitesine giren kullanıcılar, Opet’in instagram hesabında yarışma içeriğinde..."
45, Opet akaryakıt world kart kampanyası 1 Mayıs – 15 Haziran 2019, World kredi kartı sahipleri Opet akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 30 TL değerinde opet puan kazanacak. Kampanya 1 Mayıs - 15 Haziran 2019 tarihleri arasında world mobil uygulaması üzerinden yapılacak katılımlarda geçerlidir. Ödemesini...
46, Paraf total akaryakıt kampanyası 16 Nisan-31 Mayıs 2019," Paraf kredi kartı sahipleri ÜYE Total akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 40 TL değerinde paraf para kazanacak. Kampanyaya 16 Nisan-31 Mayıs 2019 tarihleri arasında TOTAL yazıp 3404’e mesaj göndererek katılabilirsiniz.  Kazanılan ParafPara’lar, kazanımın ertesi..."
47, Axess Bp akaryakıt kampanyası 16 Nisan – 31 Mayıs 2019, Axess kredi kartı sahipleri BP akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada BP'de geçerli 30 TL değerinde chip para kazanacak. Kampanya 16 Nisan - 31 Mayıs 2019 tarihleri arasında axess mobil üzerinden katılımlarda geçerlidir.  Kazanılan puanlar anında...
48, Shell 250 kişiye 1000 TL akaryakıt çekiliş kampanyası 1 Nisan – 5 Mayıs 2019, Shell 2019 yılına özel çekiliş kampanyası kapsamında club smart kart ile yapacağınız her 125 TL ve katları tutarında harcamanıza 1 çekiliş hakkı sunacak. Yapılacak çekilişle 250 kişiye 1000'e lira hediye yakıt kazanacak. Kampanya 1 Nisan - 5 Mayıs 2019 tarihleri arasında...
49, Petrol ofisi akaryakıt bonus kart kampanyası 1 Nisan – 15 Mayıs 2019, Bonus kredi kartı sahipleri Petrol ofisi akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet alışverişte 40 TL bonus kazanacak. Kampanya bu ay 1 Nisan - 15 Mayıs 2019 tarihleri arasında bonus flaş uygulaması üzerinden yapılacak başvurularda geçerlidir.  Kazanılan bonusları...
50, Shell akaryakıt maximum kart kampanyası 1 Nisan – 15 Mayıs 2019, Maximum kredi kartı sahiplerine özel Shell akaryakıt kampanyası kapsamında 1 Nisan - 15 Mayıs 2019 tarihleri arasında farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamanızda 30 TL maxi puan kazanacaksınız. Kazanılan puanlar yine Shell istasyonlarında geçerli olacaktır.  Kampanyaya maximum...
51, Opet Ankara akaryakıt kampanyası 3×100’e 27.50 TL hediye," Opet Ankarada bulunan akaryakıt istasyonlarında geçerli kampanyasında 100 TL üzeri ilk harcamanızda 5 TL, ikincide 7.50 TL, üçüncüde 10 TL ve opet mobile girenlere 5 TL olmak üzere toplamda 27.50 TL hediye ediyor. Artık kampanyalar böyle, 27.50 nedir opet? 30..."
52, Ankara Opet akaryakıt kampanyası 15 Mart – 15 Nisan 2019," Ankara'da bulunan Opet akaryakıt istasyonlarından farklı günlerde yapacakları 100 TL üzeri ilk harcamada 5 TL, ikincide 7.5 TL ve üçüncüde 10 TL yakıt puan olmak üzere toplamda 27.50 TL hediye edilecek. Kradi kartı kampanyaları ile birleştirebilirsiniz.  Kampanya 15 Mart - 15..."
53, BP akaryakıt Hopililere özel 25 paracık hediye kampanyası 1 Mart – 15 Nisan 2019, Hopililer Bp akaryakıt istasyonlarından hopi uygulaması ile yapacakları toplamda 500 TL ve üzeri alışverişte 25 TL değerinde paracık kazanacak. Kampanya 1 Mart - 15 Nisan 2019 tarihleri arasında geçerli olacaktır. İşin kötü tarafı kazanılan paracıklar sadece BP'de kullanılabilecek!  Ödeme sırasında görevliye...
54, Paraf kart opet akaryakıt kampanyası 1 Mart – 15 Nisan 2019, Paraf kredi kartı sahipleri Opet akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet alışverişte 30 TL değerinde paraf para kazanacak. Kampanya 1 Mart - 15 Nisan 2019 tarihleri arasında geçerli olacaktır. Katılım için OPET yazıp 3404’e mesaj...
55, Carrefour shell akaryakıt kampanyası 1 – 31 Mart 2019," Carrefour marketlerden 150 TL ve üzeri alışveriş yapanlara özel 20 TL shell yakıt puan fırsatı sunuluyor. Kampanyaya shell mobil uygulamasından katılabilirsiniz. Kampanya 1 - 31 Mart 2019 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları
Fiş altında çıkan kampanya katılım kodunu SMS ile 2313'e..."
56, Petrol ofisi world kart kampanyası 16 Şubat – 31 Mart 2019, Üye Petrol ofisi akaryakıt istasyonlarında world kredi kartınızla farklı günlerde yapacağınız 125 TL ve üzeri 4 adet harcamada 25 TL puan hediye edilecektir. Kampanyaya world mobil uygulaması üzerinden 16 Şubat - 31 Mart 2019 tarihleri arasında katılabilirsiniz. Kazanılan puanlar sadece...
57, Shell bonus kart kampanyası 16 Şubat – 31 Mart 2019," Shell akaryakıt bonus kart kampanyası kapsamında farklı günlerde bonus ile yapılacak 4 adet 125 TL ve üzeri harcamanızda 25 TL değerinde bonus kazanacaksınız. Kampanya 16 Şubat - 31 Mart 2019 tarihleri arasında geçerli olacaktır.  Kampanyaya bonus flaş uygulaması üzerinden katılabilirsiniz.  Kampanya Ayrıntıları
Kampanya..."
58, Maximum kart Aytemiz akaryakıt kampanyası 15 Şubat – 31 Mart 2019, Maximum kredi kartı sahipleri Aytemiz akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet alışverişlerinde 30 TL değerinde maxi puan kazanacak. Kazanılan puanlar yine Aytemiz'de kullanılabilecek. Kampanya 15 Şubat – 31 Mart 2019 tarihleri arasında maximum mobil üzerinden yapılacak...
59, Aygaz otogaz 2019 çekiliş kampanyası," Aygaz Otogaz kazandırmaya devam ediyor. 2019 yılına özel çekiliş kampanyasında tam 200.000 TL değerinde otogaz hediye edilecek. Aygaz istasyonlarından yapacağınız 20 TL ve katları tutarındaki her harcama için 1 çekiliş hakkı kazanan 20 kişi 1.000 TL’lik, 100 kişi 500 TL’lik,..."
60, Lukoil world kart kampanyası 30 TL hediye 4 Ocak – 15 Şubat 2019, World kredi kartı sahipleri üye Lukoil akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 30 TL Lukoil puan kazanacak. Kampanya 4 Ocak - 15 Şubat 2019 tarihleri arasında yapı kredi cüzdan katılımı ile geçerli olacaktır.  Kampan Ayrıntıları  Kazanılan...
61, Carrefour 100 TL harcamaya 20 TL opet yakıt hediye 7 Ocak – 3 Şubat 2019," Carrefour marketlerden carrefour kart ile yapacağınız 100 TL ve üzeri alışverişlerde Opet akaryakıt istasyonlarında geçerli 20 TL hediye yakıt fırsatı sizleri bekliyor. Kampanya 7 Ocak - 3 Şubat 2019 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları
Kampanyadan faydalanmak isteyen müşterilerin, CARREFOURSA yazıp birer bosluk..."
62, Total akaryakıt bonus kart kampanyası 1 Ocak – 15 Şubat 2019, Bonus kredi kartı sahipleri ÜYE Total akaryakıt istasyonlarından farklı günlerden yapacakları 125 TL ve üzeri 4 adet harcamada 30 TL değerinde bonus kazanacak. Kampanya 1 Ocak - 15 Şubat 2019 tarihleri arasında bonus flaş uygulaması üzerinden yapılacak katılımlarda geçerli olacaktır.  Kampanya...
63, Maximum kart Bp akaryakıt kampanyası 1 Ocak – 14 Şubat 2019, Maximum kredi kartı sahipleri Bp akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 30 TL değerinde maxi puan kazanacak. Kampanyaya maximum mobil uygulaması üzerinden 1 Ocak – 14 Şubat 2019 tarihleri arasında katılabilirsiniz. Kazanılan maxi puanları...
64, Petrol ofisi axess chip para kampanyası 40 TL hediye 1 Ocak – 15 Şubat 2019, Axess kredi kartı sahipleri ÜYE Petrol ofisi akaryakıt istasyonlarından farklı günlerde yapacakları 125 TL ve üzeri 4 adet harcamada 40 TL değerinde chip para kazanacak. Kampanyaya 1 Ocak – 15 Şubat 2019 tarihleri arasında axess mobil üzerinden katılabilirsiniz.  Kazanılan chip paralar anında...
65, Aygaz otogaz hediye kampanyası 10 Aralık – 13 Ocak 2019," Opetlerde Aygaz otogaz alımlarında 200.000 TL hediye yakıt fırsatı sizi bekliyor. Aygaz otogaz kampanyası kapsamında yapacağınız 20 TL ve katları tutarında her harcamanızda 1 çekiliş hakkı kazanan 50 kişi 500 TL’lik, 150 kişi 400 TL’lik, 300 kişi 300 TL’lik, 500 kişi..."
66, Boynerde 40 TL petrol ofisi yakıt hediye kampanyası 27 Kasım – 4 Aralık 2018," Boyner ve Ykm mağazalarından yapacağınız 400 TL ve üzeri alışverişlerinizde 40 TL değerinde Petrol ofisi akaryakıt puanı kazanacaksınız. Kampanya 27 Kasım - 4 Aralık 2018 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları
Kampanya kapsamında, 27 Kasım – 4 Aralık 2018 tarihleri arasında Boyner /..."
